stdRecord,visible,week,title,lec_a_date,lec_a_makeup,lec_a_topic,lec_a_link,quiz_a_link,quiz_a_sol_link,lab_a_makeup,lab_a_date,lab_a,lab_a_link,lab_a_sol_link,lab_a_deadline_time,lec_b_date,lec_b_makeup,lec_b_topic,lec_b_link,quiz_b_link,quiz_b_sol_link,lab_b_date,lab_b_makeup,lab_b,lab_b_link,lab_b_sol_link,lab_b_deadline_time,assignment_date,assignment_no,assignment_link,assignment_sol_link,assign_deadline_time,announcement_date,notice_date,notice,notice_b_date,notice_b
y,y,Week 1,,Aug 30,n,Introduction & Github,https://drive.google.com/file/d/1H2MugokPG8PMnQFP8g0ingINu6d3T5PJ/view?usp=sharing,https://drive.google.com/file/d/1xsPPdWV--kRH-tUX6WM0By1PkGsNbTGO/view,,n,Aug 30,Solving Problems by Utilization of Pointers and Dynamic Memory Allocation,https://classroom.github.com/a/seXy7jrQ,,11:00 am,Sep 01,n,Arrays Recap & Time Complexity,https://drive.google.com/file/d/1UXUTxSL6US73noMJUHQFmhNDKCYWXZZH/view?usp=sharing,https://drive.google.com/file/d/1vwt1moTIWmKrQ4HPTLTCmi9X9q26ts77/view,,Sep 01,n,Using Array List with Templates,https://classroom.github.com/a/cOGw5KUd,,11:00 am,Sep 4,Assignment 1,https://drive.google.com/file/d/1oRfDk2JUTcK82jh0SGS06wkvtfy1CEYA/view,,11:59 pm,Aug 29,,,,
y,y,Week 2,,Sep 6,n,Time Complexity,https://drive.google.com/file/d/1PxI3Tj7-BUkXtSsCcZvF_IbD_8_rOONn/view?usp=sharing,https://drive.google.com/file/d/1UaFL-0IjrQCLa8rWvRKQ0so9Ts4Yt2S0/view,https://drive.google.com/file/d/1UaFL-0IjrQCLa8rWvRKQ0so9Ts4Yt2S0/view,n,Sep 6,Performance Analysis of a Program in terms of Time & Space Complexity,https://classroom.github.com/a/lWKpi8jR,,11:00 am,Sep 08,n,Sorting,https://drive.google.com/file/d/1LTFTx8DLmzAjOo7pvJhhoTAMtr1a8_js/view?usp=sharing,https://drive.google.com/file/d/1Qw1kh9ujBf6Uj02GVobpy7PyldMGY8aF/view,,Sep 08,n,"Comparison among Bubble Sort, Selection Sort, and Insertion Sort",https://classroom.github.com/a/X7-jMtyY,,11:00 am,Sep 11,Assignment 2,https://drive.google.com/file/d/17nT-jkNxRHxUp5cbNId61zdZOleuqnMW/view,,11:59 pm,Sep 5,,,,
y,y,Week 3,,Sep 13,n,Merge Sort,https://drive.google.com/file/d/1RNx4lx70YWgWnPn6UbLVpKjlxi1d5Xi_/view?usp=sharing,https://drive.google.com/file/d/1sLUfuKFm-rih4pwUmX2wewR5rYVxI7TN/view,,n,Sep 13,Use of Merge Sort Algorithm to Sort an Array List,https://classroom.github.com/a/uiQHL8_e,,11:00 am,Sep 15,n,Quick Sort,https://drive.google.com/file/d/1ZtgW_EadxisO04o56e1ZJz05502eH3-N/view?usp=sharing,https://drive.google.com/file/d/1p7rMOKYjdqQ9k40azF5QtDJx9Qi0sDNN/view,https://drive.google.com/file/d/1p7rMOKYjdqQ9k40azF5QtDJx9Qi0sDNN/view,Sep 15,n,Use of Quick Sort Algorithm to Sort an Array list,https://classroom.github.com/a/8cxA5gOs,,11:00 am,Sep 18,Assignment 3,https://drive.google.com/file/d/1s64o3mGt1DWZh8QjuKC3e9ehv4M_kyTQ/view,,11:59 pm,Sep 12,,,,
y,y,Week 4,,Sep 20,n,Bucket and Radix Sort,https://drive.google.com/file/d/1W96qN-bFdosKhqS0S_snDVYuEI0VXqcT/view?usp=sharing,https://drive.google.com/file/d/1jjnOxpkjJ9F0mSytFPGEg7tNtrLV_Lnv/view,,n,Sep 20,Use of Count Sort Algorithm to Sort an Array list,https://classroom.github.com/a/FD1LPQhI,,11:00 am,Sep 22,n,Linked Lists,https://drive.google.com/file/d/12FBPQAdobdlFmk_OHMyu-x_0I_n5iX4J/view?usp=sharing,https://drive.google.com/file/d/1X3n22YZtm36nR6v6njIX0GzLbeiVM4jX/view,,Sep 22,n,Use of Radix Sort Algorithm to Sort an Array list,https://classroom.github.com/a/oO_iTyZE,,11:00 am,Sep 25,Assignment 4,https://drive.google.com/file/d/1sb_5DJJqrlQt9CQk2UR3yaa563OCew1a/view,,11:59 pm,Sep 19,,,,
y,y,Week 5,,Sep 27,n,Linked Lists cont.,https://drive.google.com/file/d/1AvVXXxzYlsLKN9YQSTv8JxN7fFt6SWFU/view?usp=sharing,https://drive.google.com/file/d/1YAdFKUF0e-F4mSfv6_MYxGgI_i0mpzR8/view,,n,Sep 27,Basic Operations on Linked Lists - I,https://classroom.github.com/a/eGd-NtQd,,11:00 am,Sep 29,n,Stacks,https://drive.google.com/file/d/1ILNgnkx-iO4TzAzRfm1Kkhd2k4SJXaO-/view?usp=sharing,https://drive.google.com/file/d/1BN3jtADnbW7WLKz4cx38E8n51F23Pusp/view,https://drive.google.com/file/d/1BN3jtADnbW7WLKz4cx38E8n51F23Pusp/view,Sep 29,n,Basic Operations on Linked Lists - II,https://classroom.github.com/a/u6LwoUb9,,11:00 am,Oct 02,Assignment 5,https://drive.google.com/file/d/1PLMklA-zTqM70OHdDgfb2WePyw9vmiW7/view,,11:59 pm,Sep 26,,,,
y,y,Week 6,,Oct 4,n,Queues with Arrays,https://drive.google.com/file/d/1TameRTD5xOlfpwf7L0zS29HUP92d_HiB/view?usp=sharing,https://drive.google.com/file/d/1oBRpH2RMQg6NUJWM6I8_TluhEFerQONu/view,,n,Oct 4,Queues with Arrays,https://classroom.github.com/a/USFksJ4Y,,11:00 am,Oct 6,n,Queues with Linked Lists,https://drive.google.com/file/d/1Ufjh8xNhC79l4GXtz1kvwrOMx4CIVOsH/view?usp=sharing,https://drive.google.com/file/d/1e2LUOkl4d4qLLTXxqmha9E8y9svhwGSO/view,,Oct 6,n,Stack with Linked Lists,https://classroom.github.com/a/UvHFsTht,,11:00 am,Oct 09,Assignment 6,https://drive.google.com/file/d/1EcQale_lfzKor19EweNvQ74jP2b8xs0U/view,,11:59 pm,Oct 9,,,,
y,y,Week 7,,Oct 11,n,Trees,https://drive.google.com/file/d/1wvzSZFdIL-HqRGrgM1FtBGL93P9QZBnM/view?usp=sharing,https://drive.google.com/file/d/1VgXvYYsI8KWJDYWFasjmhpmPRVYWbe28/view,,n,Oct 11,Queues with Linked Lists,https://classroom.github.com/a/8QAFOU3a,,11:00 am,Oct 13,n,Lab Midterm Exam,https://drive.google.com/file/d/14z8R-4CTzc1Ll8FPNRnNi3g1GQwKXh-B/view?usp=sharing,https://drive.google.com/file/d/12SSha66BlLcGnhAvvf6mt7vIgDCLKEN2/view,,Oct 13,n,Tree Implementation with Linked List,https://classroom.github.com/a/5OJ1KW2-,,11:00 am,Oct 16,Assignment 7,https://drive.google.com/file/d/15jinFb56inZjJ-thmoBL_IP5UMnTDsT8/view,,11:59 pm,Oct 16,,,,
y,y,Week 8,,Oct 18,n,Trees Cont.,https://drive.google.com/file/d/12l-FHRaVhMjI1uNhygODJsrxNDDgrvhG/view?usp=sharing,https://drive.google.com/file/d/1rLAwk9YK5tjrEZnC3ucR9zseKVTQNKUq/view,,n,Oct 18,Tree Implementation with Linked List,https://classroom.github.com/a/VVBgxSB_,,11:00 am,Oct 20,n,Midterm Theory Exam,https://drive.google.com/file/d/1fHNvSRUN6GuE9agZwZPdszyGNID49PN4/view?usp=sharing,https://drive.google.com/file/d/1c9mW9V-yozKr6BKtEantWG-a5IoKtCtM/view,,Oct 20,n,Tree Implementation with Array,https://classroom.github.com/a/8x83uzVD,,11:00 am,Oct 23,Assignment 8,https://drive.google.com/file/d/1Gf47-3rWEt5QW_eDcOtcC05jhIVc96ZV/view,,11:59 pm,Oct 23,,,,
y,y,Week 9,,Oct 25,n,Midterm Solution Discussion,https://drive.google.com/file/d/1mglCwEDk3jqmMmFxRbQi9kuoKddFnNpr/view?usp=sharing,No quiz,,n,Oct 25,Complete Tree Implementation with Pointers,https://classroom.github.com/a/eWBPYJaK,,11:00 am,Oct 27,n,Trees Cont.,https://drive.google.com/file/d/17U3uCPZTjLkyeVaThuXPAS5KhU5QS-F8/view?usp=sharing,No quiz,,Oct 27,n,Full Tree Implementation with Pointers,https://classroom.github.com/a/LuKHDxAW,,11:00 am,Oct 30,Assignment 9,https://drive.google.com/file/d/1qP4pz2YnGp-debax565r3LChTZOHZpr5/view,,11:59 pm,Nov 13,,,,
n,y,Week 10,,Nov 1,n,BFS & DFS,https://drive.google.com/file/d/19ys8RNXkt-GR9sFlQmdDqq-ty-mNj85m/view?usp=share_link,https://drive.google.com/file/d/1ZMezvSxlvaqhLCKTgc4fZi8SuvmxVn6s/view,,n,Nov 1,Breadth First Traversal and Depth First Traversal in Trees,https://classroom.github.com/a/cC_HZe22,,11:00 am,Nov 3,n,Heap Sort,https://drive.google.com/file/d/14l-N3RBOk6ZfKVvqzLXxGZ8X0NNwRFRF/view?usp=sharing,https://drive.google.com/file/d/1lJYJHCb1LfDCeydevGYzOVX34HAHiu2_/view,,Nov 3,n,Use of Comparison Based Sorting Technique – Heap Sort,https://classroom.github.com/a/QGjB7-qw,,11:00 am,Nov 6,Assignment 10,https://drive.google.com/file/d/12T11dSgZsf8DYNAy2RWXpxkN0vSVHqtw/view,,11:59 pm,Nov 20,,,,
