week,date,type,weightage,no,combined_types,text,link,solution_link,makeup,deadline
Week 1,8/28/2023,Lecture,0%,1,,Introduction & Github,,,No,
Week 1,8/28/2023,Quiz,25%,1,Quiz 1,,,,No,
Week 1,8/28/2023,Lab,25%,1,Lab 1,,,,No,8/28/2023
Week 1,8/29/2023,Lecture,0%,2,,Word Problems & Algorithms,,,No,
Week 1,8/29/2023,Quiz,25%,2,Quiz 2,,,,No,
Week 1,8/29/2023,Assignment,25%,1,Assignment 1,,,,No,9/2/2023
Week 2,9/4/2023,Lecture,0%,3,,Algorithms & Flowchart,,,No,
Week 2,9/4/2023,Quiz,25%,3,,,,,No,
Week 2,9/4/2023,Lab,25%,2,,,,,No,9/4/2023
Week 2,9/5/2023,Lecture,0%,4,,Number Systems & Pseudocode,,,No,
Week 2,9/5/2023,Quiz,25%,4,,,,,No,
Week 2,9/5/2023,Assignment,25%,2,,,,,No,9/9/2023
Week 3,9/11/2023,Lecture,0%,5,,Number Systems & Code Getting Started,,,No,
Week 3,9/11/2023,Quiz,25%,5,,,,,No,
Week 3,9/11/2023,Lab,25%,3,,,,,No,9/11/2023
Week 3,9/12/2023,Lecture,0%,6,,Conditional flows,,,No,
Week 3,9/12/2023,Quiz,25%,6,,,,,No,
Week 3,9/12/2023,Assignment,25%,3,,,,,No,9/16/2023
Week 4,9/18/2023,Lecture,0%,7,,Loops & Switch Cases,,,No,
Week 4,9/18/2023,Quiz,25%,7,Quiz 7,,,,No,
Week 4,9/18/2023,Lab,25%,4,Lab 4,,,,No,9/18/2023
Week 4,9/19/2023,Lecture,0%,8,,Functions & Scope,,,No,
Week 4,9/19/2023,Quiz,25%,8,Quiz 8,,,,No,
Week 4,9/19/2023,Assignment,25%,4,Assignment 4,,,,No,9/23/2023
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
,,,,,,,,,No,
